player_id,promo_type,promo_timestamp,engaged
P005356,Activation,2023-03-27 06:02:23.415502310,0
P001898,Mission,2023-08-30 23:57:39.786869287,0
P009223,Mission,2023-08-06 23:15:44.046161652,0
P007386,Cashback,2023-05-03 15:07:51.491478920,0
P008755,AccaInsurance,2023-10-30 01:09:35.408609390,0
P003897,Mission,2023-12-25 05:46:49.984945297,0
P007747,ReAcquisition,2023-06-26 00:03:06.234910488,0
P009376,Activation,2023-07-10 16:43:40.022818089,0
P003139,Cashback,2023-06-18 23:50:16.880678654,0
P004886,Activation,2023-12-03 17:11:03.156771421,0
P002387,DepositAndGet,2023-05-25 11:17:41.108025074,0
P001654,Cashback,2023-12-27 19:42:12.088244438,0
P008025,AccaInsurance,2023-07-22 12:14:09.449697733,0
P003453,ReAcquisition,2023-01-27 03:07:13.325510979,0
P000273,ReloadBonus,2023-07-29 23:53:51.051466703,0
P004641,DepositAndGet,2023-06-18 19:35:32.329865217,0
P008770,DepositAndGet,2023-01-15 05:37:24.234329700,0
P000752,Cashback,2023-11-22 07:53:49.293413162,1
P007266,ReloadBonus,2023-08-23 07:40:26.962341785,1
P008774,Mission,2023-11-16 02:14:04.956574678,0
P007040,Mission,2023-12-16 18:51:59.344956875,0
P005108,ReAcquisition,2023-08-12 00:42:54.726695299,0
P001421,Cashback,2023-11-11 09:47:49.435314178,1
P009286,Cashback,2023-09-21 04:15:08.524837255,0
P002256,AccaInsurance,2023-02-04 19:47:11.591281176,0
P007075,DepositAndGet,2023-01-02 10:21:53.483186483,0
P002968,AccaInsurance,2023-03-16 07:12:43.373097420,1
P005681,Activation,2023-02-24 11:20:45.199255466,0
P007792,ReloadBonus,2023-10-24 07:21:33.590663671,1
P009792,ReloadBonus,2023-11-10 05:39:23.143646717,0
P009137,AccaInsurance,2023-10-22 10:45:08.751533031,0
P005921,ReloadBonus,2023-09-01 00:14:03.608293533,1
P005619,Activation,2023-05-09 19:37:04.266705513,0
P002885,Activation,2023-07-23 07:17:54.157706738,0
P005773,Cashback,2023-10-01 00:57:54.799377441,0
P003159,ReAcquisition,2023-11-24 20:19:50.771599293,0
P006512,ReloadBonus,2023-01-12 00:36:53.725386620,0
P007878,Activation,2023-10-09 16:46:09.644705772,0
P004736,DepositAndGet,2023-08-08 17:12:18.804808617,0
P004587,DepositAndGet,2023-02-06 16:22:02.949649096,1
P005550,Activation,2023-01-23 22:57:35.744442463,0
P002427,DepositAndGet,2023-02-11 19:12:39.863704920,0
P007046,Cashback,2023-09-01 15:06:04.638158798,0
P002598,ReloadBonus,2023-04-14 12:47:25.058153152,0
P005789,ReloadBonus,2023-12-02 20:57:10.329699755,0
P008843,DepositAndGet,2023-01-25 13:17:25.168064117,0
P001625,Activation,2023-04-29 20:16:49.155525446,0
P005866,Cashback,2023-08-11 17:10:14.252119780,0
P007608,Cashback,2023-11-07 00:57:48.440583706,0
P003777,Activation,2023-01-19 07:30:18.971503735,0
P005854,ReAcquisition,2023-06-28 13:53:13.849212646,0
P000146,Cashback,2023-10-13 01:43:49.939102411,0
P005974,AccaInsurance,2023-09-09 05:35:20.650743723,0
P009691,DepositAndGet,2023-02-12 17:51:15.322444916,0
P004825,Cashback,2023-06-07 02:47:32.874081135,0
P005060,Mission,2023-06-08 18:37:11.374444485,0
P006458,DepositAndGet,2023-11-18 20:48:22.272227526,0
P005698,ReAcquisition,2023-12-24 02:37:46.876957893,1
P006753,ReAcquisition,2023-08-04 16:36:06.831469297,0
P001586,DepositAndGet,2023-05-22 08:50:19.386842012,0
P001094,ReloadBonus,2023-05-15 14:54:51.985340118,0
P004908,DepositAndGet,2023-11-28 22:15:46.186309338,0
P002619,AccaInsurance,2023-04-18 16:51:36.631739855,0
P001847,ReloadBonus,2023-04-06 20:53:03.373933554,0
P005647,ReloadBonus,2023-01-30 10:26:48.914943933,0
P003259,Cashback,2023-12-25 02:54:27.366030693,0
P008304,ReAcquisition,2023-05-11 03:01:12.021260977,0
P000757,Cashback,2023-12-22 05:29:57.335035563,0
P000625,ReAcquisition,2023-06-10 09:53:50.554454088,0
P006594,AccaInsurance,2023-07-27 02:59:51.714064360,0
P005261,ReloadBonus,2023-04-26 05:42:27.633609056,0
P006162,DepositAndGet,2023-01-23 08:19:57.694953203,0
P005631,ReAcquisition,2023-03-29 02:58:19.502234697,0
P005924,ReAcquisition,2023-08-19 22:27:07.169788122,0
P005088,Mission,2023-12-20 18:40:32.964600801,0
P002999,AccaInsurance,2023-07-05 20:26:51.197022915,0
P004625,Cashback,2023-08-31 20:43:22.836654186,0
P008733,Activation,2023-01-12 04:38:12.001310110,1
P004068,ReloadBonus,2023-06-01 14:24:03.664969444,0
P001782,Activation,2023-12-05 18:07:22.830317020,0
P002245,Mission,2023-08-04 08:23:02.939019442,1
P006786,ReAcquisition,2023-01-16 16:01:32.870459795,0
P008666,AccaInsurance,2023-06-07 05:47:53.334543943,0
P005278,DepositAndGet,2023-12-14 23:13:08.046162605,0
P007412,DepositAndGet,2023-04-20 05:02:51.231043816,0
P009121,Mission,2023-11-17 23:00:47.524756907,0
P005301,ReloadBonus,2023-12-15 04:40:01.336892843,1
P000980,Activation,2023-08-12 22:00:15.012064457,0
P009108,Mission,2023-05-28 23:37:01.976258278,0
P005605,AccaInsurance,2023-12-16 20:14:28.242388248,0
P006318,Cashback,2023-10-10 01:15:40.311328173,0
P004519,ReloadBonus,2023-10-04 16:52:37.689815044,0
P009264,Activation,2023-02-24 00:57:56.677665949,0
P009802,ReloadBonus,2023-06-29 16:58:47.606329918,0
P003730,Mission,2023-01-20 12:28:44.130025625,0
P006150,AccaInsurance,2023-03-16 09:21:15.718806982,0
P004904,AccaInsurance,2023-09-13 11:16:39.781055689,0
P006381,DepositAndGet,2023-10-19 09:52:59.928789854,0
P003408,Mission,2023-09-15 21:34:42.518814325,0
P006940,AccaInsurance,2023-01-23 05:30:56.883042336,0
P004430,ReAcquisition,2023-12-22 00:42:32.292562485,0
P005260,Cashback,2023-01-29 17:46:21.362461567,0
P007150,AccaInsurance,2023-03-07 21:41:34.122228622,0
P008879,Activation,2023-06-07 17:10:57.302971601,0
P007957,ReloadBonus,2023-01-01 04:34:56.333801508,0
P002243,AccaInsurance,2023-02-25 19:01:31.152953863,0
P004514,Activation,2023-05-04 02:20:33.005435467,0
P006169,AccaInsurance,2023-05-29 18:07:32.292541027,0
P002516,AccaInsurance,2023-02-11 11:26:45.481320381,0
P004222,ReloadBonus,2023-08-15 21:17:35.540580511,0
P000469,Cashback,2023-08-24 18:56:14.515588760,0
P006950,ReAcquisition,2023-07-01 04:35:32.535945892,0
P005299,AccaInsurance,2023-05-09 17:44:13.419991970,1
P006953,ReAcquisition,2023-08-31 19:49:15.159909725,0
P004203,Activation,2023-01-02 20:55:01.771420956,0
P003817,Cashback,2023-12-06 12:34:28.464574099,0
P002365,ReAcquisition,2023-08-23 19:37:59.718388557,0
P001722,Mission,2023-12-22 07:38:09.024797678,0
P000005,Activation,2023-05-10 06:42:48.807612419,0
P005454,DepositAndGet,2023-02-05 01:08:49.380477428,0
P007217,AccaInsurance,2023-10-29 05:40:52.862318754,0
P005291,Activation,2023-06-23 14:56:02.286328793,0
P005375,Mission,2023-08-11 18:53:22.647953510,0
P002492,Mission,2023-05-10 10:37:22.933144093,0
P000189,ReloadBonus,2023-07-19 23:21:25.385618925,1
P002346,ReloadBonus,2023-07-02 14:07:05.909541368,0
P005247,Mission,2023-09-30 22:18:22.294585705,0
P001712,DepositAndGet,2023-08-30 16:29:10.953052521,0
P009704,ReloadBonus,2023-12-22 23:29:55.423643351,0
P004111,AccaInsurance,2023-10-01 08:39:39.675829887,0
P007086,ReloadBonus,2023-07-15 21:45:56.988767862,1
P000812,Cashback,2023-04-23 16:13:17.987912416,0
P007224,ReAcquisition,2023-10-29 23:39:50.243878126,0
